text,IN,VI,SE,AD,PO,CLEAN
소속사까지 난리났다는데... 인플루언서 P양 영상 돌고있음 :eyes:,0,0,0,1,0,0
인스타에 인플루언서 P양 치면 지금도 볼 수 있대 P양 사건 영상 실검도 올랐었고 해명도 못하는 중이더라 :joy:,0,0,0,1,0,0
에이블리들어가서 쿠폰등록하는거에 '네ㅔ'라고 치면 할인쿠폰 줌 ㄹㅇ 개꿀임 유효기간 일주일이니까 ㅃㄹ쓰셈 하는법 에이블리앱 실행->마이페이지->쿠폰->쿠폰등록하기 쿠폰사용기간: 9월30일까지,0,0,0,1,0,0
인스타에 인플루언서 P양 치면 영상 바로 나오는데 나도 보고 바로 언팔했어 ㅠㅠ :cry:,0,0,0,1,0,0
[Web발신](광고) 코러스마트 전화번호:**********▶여산 코러스마트 정육코너◀★매주 목요일 소 잡는날★ 무료수신거부번호 : **********,0,0,0,1,0,0
★★천안역 초역세권 신규아파트 파격할인분양★★ ●주변시세보다*억저렴 ●**년*월입주 입주*년후잔금납부 ●**평이 실 사용 면적 **평 ●평당 ****만원 ●계약금*% 입주시까지 ●초중고학세권 ●입주축하금*,0,0,0,1,0,0
요즘 잘 지내세요? *월 *일에 한국으로 여행 오고 싶은데 같이 놀 시간 있어요?나의 ĻļŅẸ：*******,0,0,0,1,0,0
lihi.cc/vVxh*ifg@상품권 즉시지급!!,0,0,0,1,0,0
다른 sns보다가 알던 유명한 비제이있던데 ㅎ 사과티비에서 방송하더라? 그래서 바로가입하고 들어감,0,0,0,1,0,0
와...직장에서 한번 사과티비 봤는데 우리부서 사람들 사과티비 다운다함,0,0,0,1,0,0
진짜 하다하다 홍보를 유튜브 댓글로 하네 ㅎㅎㅎㅎ 나도 들어가봐야겠네 마카롱티비,0,0,0,1,0,0
여기저기 댓글로 뿌려져있는 마카롱티비 이거 뭐냐?? 알려줘라!!,0,0,0,1,0,0
진짜 마카롱티비가 뭐냐고 좀 알려주고 홍보를 해라!!,0,0,0,1,0,0
요거 댓글 프사 터치하니까 채널에서 레전드 콘텐츠 터짐ㅋ,0,0,0,1,0,0
요거 댓글 프사 클릭해서 채널 들어가봤더니 숨겨진 보물 터짐ㅋ,0,0,0,1,0,0
와 댓글 프로필 눌렀더이거 완전 핵잼임ㅋ,0,0,0,1,0,0
이거 댓글 프사 클릭해서 끝내주는 좌표 발견했어!,0,0,0,1,0,0
남들 다 프사 클릭해서 알아가는데 나만 놓칠 순 없잖아.,0,0,0,1,0,0
프사 한 번 터치해봐. 지금 아니면 나중에 후회할지도 몰라.,0,0,0,1,0,0
프사 클릭해서 다들 왜 흥분하고 있는지 알아봐야지.,0,0,0,1,0,0
파이코인하자! 프로필에 설명있음!,0,0,0,1,0,0
꼼프라카 점차점차 사람들이 많이 모여들고 있고만 역시 내 예상은 빗나가지 않습니다. 꼼프라카,0,0,0,1,0,0
자 다들 up될 준비 되었나요? 날씨도 풀렸는데 꼼프라카에서 새로운 경험을 시작해보으자~,0,0,0,1,0,0
꼼프라카가 뭐에요? 탕탕후루후루~ 꼼@프@라카 탕탕후루후루 아~ 이런곳이구나,0,0,0,1,0,0
꼼프라카 이곳은 안전제일 신속정확 참 말잘듣는 곳,0,0,0,1,0,0
저러니 회장.감독 사퇴안하지가 지금 중요한게 아닌거 형들도 알지 내 채널에 올려둔 주소로 들어가면 아이돌계 난리난거 있으니깐 들려봨ㅋ,0,0,0,1,0,0
꼼프라n카 소식들었어요? 앞으로 미래를 이끌어갈 레전드 온카라고 하던데요 ?,0,0,0,1,0,0
보이지 않는 검이 가장무서운법! 대국민이 인정한 꼼1프라1카 ㅋㅋㅋ,0,0,0,1,0,0
급 전@당일 지급ifg@ifg@ifg@카톡(ID) d k k i i * * * *,0,0,0,1,0,0
ㄱ글에서 토카인 1위 던데 어마어마 하네욛ㄷㄷㄷㄷ,0,0,0,1,0,0
ㄱ글에서 Tokyo SA Hotel에서 눈을 못떼겠네요 이런 좋은 곳이 있다니,0,0,0,1,0,0
:arrow_up_small:유명걸그룹 얼굴마담 레전작 궁금한양반들:heart_eyes: 빨리와:heart_eyes: 가족들도 눈치챈거 같은데:heart_eyes: 그나저나 폼 미쳤다ㄷㄷ,0,0,0,1,0,0
주변에서 다들 :bomb:파:bomb:다:bomb:사:bomb:워:bomb:리:bomb: 말하던데 그게 뭐죠? 유튜브에 검색하면 나오나요?,0,0,0,1,0,0
저 고딩인데 파@다@사@워@리 했으면 ㄹㅇ ㅋㅋㅋ 먹튀없이 돈 다주네...,0,0,0,1,0,0
파@다@사@워@리 ㄷㄷ 직장인들 주시 비코로 지금 다 죽을라고하는데 나만 이거 알아서 살려줬네,0,0,0,1,0,0
:i_love_you_hand_sign:덤:i_love_you_hand_sign:홀:i_love_you_hand_sign:덤:i_love_you_hand_sign: 와 맨날 폰으로 홀 . 덤만하네 ㅋㅋㅋ 먹튀도 없어서 개굿,0,0,0,1,0,0
덤@홀@덤@ 어플도 있고 아이폰 갤럭시 둘다되네 ;; 포인트 홀.덤 개꿀 ㅋㅋㅋ,0,0,0,1,0,0
유튜브에서 요즘 핫하게 뜨는게 사과티비인듯 개쩔어요ㅎ,0,0,0,1,0,0
사과티비를 검색하는데 엄청나던데요? 혹시 안보신분들 같이 보자요.,0,0,0,1,0,0
□비□제□이□벳□에서 카쟈노로 30출 500마감쳣닼ㅋㅋ화ㄴ도 개빠른데?,0,0,0,1,0,0
뽕맛이 지대로 느낄수있는 □비□제□이□벳□ 스타.롤 배Y팅이 시원시원하고 아주 야무딱지다,0,0,0,1,0,0
e스뽀오츠 전용 베xx팅은 신박하긴하네 □비□제□이□벳□ 둘러보러와요,0,0,0,1,0,0
아뿌리카스타리그 이제 대망의 4강 `비 `제 `이 `뱃 `에서 한방 가보련다,0,0,0,1,0,0
요즘 뭐해 ?볼일 있어 추가해줘LINE :xj****[FW],0,0,0,1,0,0
나 하나도 안 보고 싶어?제 새 아이디입니다.+Line:linlin****,0,0,0,1,0,0
▶중앙공원 LOTTE CASTLE 아파트◀ 광주 최고 입지 자부심 ■주말 회사보유분 동호지정계약진행■ ★계약금 납입일정 여유있게 가능★ ~ 영구조망 공원뷰 ♤일정 : *월 **일(금)~ *월 **일(일) ▶**py마감임박,0,0,0,1,0,0
저녁에 널 찾아가지 않을 거야. 며칠 후에 너희 집에서 하룻밤 묵을 거야. 내 새 계좌.L*NE:f***y,0,0,0,1,0,0
김유라님 이번 주의 특가 소식을 알려드립니다. 웰라이프몰 단독 혜택 놓치지 마세요! ◈ 신제품 출시기념 핫-딜 - 코엔자임 Q** 플러스 - 혈압&항산화 건강기능식품 └[체감가] ★*OO원★ifg@▷https://vo.la/sPdrDifg@ifg@◈ 마이키즈 *일 한정 세일! - 딸기/초코/밀크/바나나/블루베리,0,0,0,1,0,0
요즘 잘 지내세요? *월 *일에 한국으로 여행 오고 싶은데 같이 놀 시간 있어요?나의 ĻļŅẸ：sf***a,0,0,0,1,0,0
자기야 선물을 사서 *월 *일에 한국에 도착했어. 너를 찾고 싶어.+LḬŃĖ:  xenen**,0,0,0,1,0,0
☆★☆ 함가네 축산물 ☆★☆ ◆ *월 **일 토요일 세일 ※ 사장님이 직접 야채 손질해서 만든 밀키트 판매합니다 https://band.us/@hammeatifg@ifg@밴드 가입하신 ***분 에게는 ifg@한우곰탕 *팩증정!,0,0,0,1,0,0
김성석님 환급내역 ***원 여러분 축하드립니다 확인 >> https://t.ly/zMstb,0,0,0,1,0,0
다양한 진행방법과 노하우를 통해 대출 승인 ***% 진행 드립니다. ▣카카오톡 상담 담당자: 이준영 ID추가:ok*****,0,0,0,1,0,0
저는 *월 *일에 대한민국 서울에 도착했고 공항에서 만날 수 있었습니다. 나의 +ḶỊṆẸ: linlin****,0,0,0,1,0,0
양산동 명지써밋아파트 ※ 방문예약 ☎ ***-***-****ifg@ifg@★양산동 *년전세★ifg@- 전세가 *억!!ifg@- 전세권설정등기가능!!ifg@- HUG보증가능!!ifg@- *년후 확정분양가(의무X)ifg@- 선착순 동호수지정ifg@- 즉시입주가능합니다ifg@ifg@▶**평형ifg@▶지하*층~지상 **층ifg@▶융자없는 안전한 전세ifg@▶샘플하우스 관람가능ifg@▶풀옵션 무상혜택ifg@ifg@※***% 방문예약제로 운영 중ifg@ifg@※ 방문예약 ☎ ***-***-****ifg@무료수신거부**********,0,0,0,1,0,0
나는 한국에서 일한다.오빠를 알고 싶고 내 라인 추가하기: ********,0,0,0,1,0,0
나는 당신의 여동생입니다. 이전 번호로 로그인할 수 없습니다. 새 LINE 번호를 추가해주세요: annie***,0,0,0,1,0,0
S.I.VILLAGE【*차 종료 D-*】★시마을 상반기 파이널 BIG SALE★▷최대 **% OFF & 최대 **% 페이백▷브랜드별 구매 GIFT & 결제 혜택https://sivillage.onelink.me/UKNL/h* 자세한 사항은 이벤트 페이지를 확인해주세요.,0,0,0,1,0,0
김영택님 환급내역 모두 축하드립니다 ***원 확인 >> https://t.ly/*UZmt ,0,0,0,1,0,0
♬ 콜핑 본사 직영 진주시청점 ♬ifg@ifg@콜핑이 준비한 여름 상품 기획전!ifg@행사일 : **월 **일~ifg@ifg@이벤트 내용ifg@*. 여름 신상품 의류 **% 할인!ifg@*. 이월 의류 가격 대폭인하!ifg@*. 이월 등산화 전격 가격인하!ifg@*. 여름 용품 파격할인!,0,0,0,1,0,0
지금 H.Point APP 설치하시고 스타벅스 아메리카노 기프티콘ifg@선물 받아가세요♥ifg@ifg@■ 이벤트 기간ifg@*월 **일(수) ~ *월 **일(화)ifg@※ 기간 이후 설치 고객에게는ifg@증정되지 않습니다.ifg@※ H.Point APP 로그인을ifg@반드시 하셔야 인정됩니다.,0,0,0,1,0,0
탄동농협하나로마트분사ifg@★여름 준비 세일!★ 카톡친구추가 바랍니다! : http://kakaomarttalk.com/ad/eTjrKU*jifg@무료수신거부 : ***-***-****,0,0,0,1,0,0
하나 ★ 대부?ifg@✅ 승인률 **.*ifg@✅ **~****ifg@✅ 카톡 : bo**,0,0,0,1,0,0
회사 *곳에서 연속으로 권고사직 당한 평범한 회사원이ifg@사업 *년 만에 *.*억 매출 달성한 비결은? 얼리버드로 시작하기 : https://***.gg/*VXaV*uifg@ifg@,0,0,0,1,0,0
**일에 한국으로 여행을 오고 싶은데 호텔을 찾아주실 수 있나요?마이 ĻļŅḚ：k*****,0,0,0,1,0,0
◆◆특별 이벤트 마지막 날~!!!◆◆광동침향환 구매하시는 모든 분들에게▶▶침향환*개월+영지진액*달분+침향캔디 *박스푸짐한 사은품에 여기에다 ★러시아산 녹용 정녹청 *개월분*박스 까지 더더더 추가증정★★★~!!!,0,0,0,1,0,0
오늘 단 하루! 라이브 단독 갤럭시 갓성비 A** *원 및 플래그쉽 단말 **% 할인 등 역대급 혜택 만나보세요.,0,0,0,1,0,0
다음 달에 혼자 한국에 출장을 갑니다. 시간이 있나요? 새 계정을 추가해 주세요. 라인: ********,0,0,0,1,0,0
나는 새 치마를 샀는데 너무 예뻐서 *월 **일 한국에 도착했을 때 연락이 두절되었습니다LINE:kb****,0,0,0,1,0,0
*천원 할인 쿠폰 도착ifg@▶ https://bit.ly/*etNhjEifg@오늘(*/**)부터 단 *일,0,0,0,1,0,0
보르도가 매장 이전 *주년을 맞아 특별 행사를 진행하오니 특가 와인과 선물들을 놓치지 마세요!,0,0,0,1,0,0
밸런스콕 ***원딜 이벤트 오픈!ifg@ifg@☆ B포인트몰 ***원딜 *종 상품 오픈!ifg@*. 신세계상품권 *천원ifg@*. 동국제약 마데카크림 ifg@*. 생수 *L***병 中 택*ifg@ifg@※ ***원딜 상품은 무료보험 가입 고객에게ifg@   제공하는 혜택 입니다.,0,0,0,1,0,0
고객님 안녕하세요.ifg@ifg@LGU+ 홍제역점입니다^^ifg@ifg@*월 고객감사이벤트ifg@매장방문하시는 고객님들께만ifg@드리는 상품권증정 행사입니다! ifg@ifg@*. 네이버포인트 *천원권ifg@*. 메가커피 메가리카노 ifg@*. 다이소 *천원권 ifg@*. 명량핫도그 *천원권ifg@*. 와플대학 *천원권ifg@위 상품권중에  원하시는걸로ifg@한가지 ***% 증정입니다!,0,0,0,1,0,0
올 여름도 폭염 예약! 딜라이브와 함께 시원하게!!ifg@ifg@#믿고 보는 삼성! 만원대 삼성 에어컨 특템 절호의 찬스!ifg@#여기에 우수고객님만의 혜택 하나 더!!!ifg@#상품권 *만원 + 삼성 기사가 *일 이내 설치해 드립니다!!,0,0,0,1,0,0
카카오톡 추천에서 오빠 사진 보고 친구가 되고싶어서 내 카카오톡 계정 추가해서 얘기좀 하자：Ad*******,0,0,0,1,0,0
월 **일 한국 항공권을 예약했는데 그때 공항으로 마중 나갈 시간이 있습니까?나의 ĻỊŅḘ: tn****,0,0,0,1,0,0
농협목포유통센터ifg@**********ifg@♥하나로마트 목포점 초특가♥ifg@< 행사기간 : **.**(화),0,0,0,1,0,0
저희 일동침향은 바보입니다!!ifg@ifg@★일동관우(관절친구)발효침향단★ifg@ifg@타 회사에서 저렴한 침향분말가루를 수입해올때...ifg@ifg@저희는 최상급 침향원물만을 가져왔습니다ifg@ifg@타 회사에서 원가절감을 위해 저렴한 약재들을 배합할때...ifg@ifg@저희는 오직 국내산 한약재와 값비싼 관절연골성분을 추가했습니다,0,0,0,1,0,0
안녕하세요 대표님!ifg@ifg@엘지유플러스 본사 홈영업부에 근무중인 박민재 사원입니다!ifg@ifg@현재 운영중인 사업장에 인터넷 행사가 있어서 연락드렸습니다!ifg@ifg@전화상담 ***-****-**** 박민재ifg@카톡상담 http://pf.kakao.com/_ygicGifg@ifg@ifg@★견적서★ifg@ifg@☞기가인터넷 + WiFi ifg@ifg@- 월 ***원),0,0,0,1,0,0
★ 급 한 돈 문 의 ★사 업 자 우 대ifg@남 녀 누 구 나ifg@주 변 월 변ifg@kakao : pc****,0,0,0,1,0,0
당/일/급/전/비/대/월/변ifg@어/디/보/다/좋은/조건/ifg@스.피.드.칼/진행/ 카톡 : q q r r **,0,0,0,1,0,0
★ 상반기 마감 D-* ★ifg@★ 역대 최고 할인 D-* ★ifg@ifg@서둘러주셔야 합니다. ifg@최고의 조건으로 ifg@출고 도와드리겠습니다.,0,0,0,1,0,0
김찬훈축*등ifg@됫네여 축당첨ifg@**** 예측번호ifg@https://vvd.bz/eIN*ifg@상담만 받고 구매지원금 받자,0,0,0,1,0,0
비대면 대출ifg@⚡ 스피드송금ifg@? 모두 okifg@ifg@?***********ifg@저장 후 kakao툑,0,0,0,1,0,0
메모파리 향기 추천 ifg@ifg@딥티크의 우디향을 구매하신이*화고객님의 취향을 저격할 메모파리의 향수를 소개합니다. ifg@ifg@지금 공식몰에서 최대 혜택을 만나보세요!,0,0,0,1,0,0
카카오톡 인기에서 오빠 사진 보고 오빠랑 친구가 되길 바라며 내 카카오톡 계정 추가:fp****,0,0,0,1,0,0
무직/주부 당일 돈 필요하시면 연락주세요 *억까지 가능한 상품입니다 카카오:cv***,0,0,0,1,0,0
무더위 이겨내는 *일간의 농산물 빅세일♥ifg@http://pf.kakao.com/_kLtxmG/********* ,0,0,0,1,0,0
하나로마트 남양점ifg@♥시원~하게 내렸다 수요일 초특가♥ifg@http://pf.kakao.com/_RxaliT/********* ,0,0,0,1,0,0
나는 다음 주에 휴가라서 한국에 와서 며칠 놀아주고 싶어. *월 *일 비행기 표를 예매할게.ḺḻṈḚ：tet***,0,0,0,1,0,0
고객님께만 드리는 ifg@IRP계좌 입금 혜택 놓치지 마세요!ifg@ifg@[이벤트 안내]ifg@■ 기간 : ****.**.** ~ ****.**.**ifg@■ 대상 : 문자 수신 고객님ifg@■ 조건 : IRP계좌에 **만원 이상 입금(*.**까지 잔고 유지 필수)ifg@■ 이벤트 자세히 보기 ☞ https://bit.ly/*bPePyfifg@ifg@■ 혜택 챙겨가세요!,0,0,0,1,0,0
마케팅동의 신청하시고 GS주유상품권 *천원 받으세요.ifg@ ifg@▶ 이벤트 참여ifg@https://mstore.meritzfire.com/oMvjm.difg@ ifg@고객센터) ****-****,0,0,0,1,0,0
럭키*월. 몬스터즈에서행운을드립니다!ifg@ifg@★LUCKY *★ifg@차이코스 블레이드 형 구매 시 무려 **원 상당의 상단캡 증정 !ifg@차이코스 구매하고 단 하나밖에 없는ifg@나만의 차이코스 만들어 보세요 !ifg@링크 ☞ https://vo.la/fEVerifg@ifg@★LUCKY *★ifg@아스몬 킷 구매 시 액상 증정,0,0,0,1,0,0
상품권 **만원 증정★ 인터넷+IPTV *월 가입 혜택ifg@ifg@안녕하세요 고객님.ifg@라방에서 인터넷/IPTV 신규 가입 하시면 무려 **만원 상품권을 드려요!ifg@월 요금 *만원대로 사용하실 수 있는 꿀팁 안내 까지,0,0,0,1,0,0
